project_id	experiment_id	sample_id	run_id	data_id	security	fileName	url	MD5
OEP001340	OEX011788	OES065701	OER100135	OED260867	Public	19_FDSW202414431-1b_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260867	9d2b6d4b0def170ef0fe84551e2d6d55
OEP001340	OEX011788	OES065701	OER100135	OED260890	Public	19_FDSW202414431-1b_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260890	b7000e2d139bf262df73d25d3d4df61c
OEP001340	OEX011788	OES065702	OER100136	OED260862	Public	20_FDSW202414432-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260862	03ac953cf61b7917a40505f1d5b2325c
OEP001340	OEX011788	OES065702	OER100136	OED260869	Public	20_FDSW202414432-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260869	da77111d0f6c961ed5e547614dffec98
OEP001340	OEX011788	OES065703	OER100137	OED260868	Public	21_FDSW202414433-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260868	7064192ebafd22bdfa40ca2c767dfe21
OEP001340	OEX011788	OES065703	OER100137	OED260891	Public	21_FDSW202414433-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260891	452c2bdec99f3e566cd00bec36f5cd8f
OEP001340	OEX011788	OES065704	OER100138	OED260872	Public	22_FDSW202414434-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260872	86f71bddd1cac56a48529e747cb9b3dd
OEP001340	OEX011788	OES065704	OER100138	OED260874	Public	22_FDSW202414434-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260874	ebad3c6ce60f979042ebb1ac18b537e1
OEP001340	OEX011788	OES065705	OER100139	OED260873	Public	23_FDSW202414435-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260873	cb025c245a2a7923259443ac9da729b1
OEP001340	OEX011788	OES065705	OER100139	OED260876	Public	23_FDSW202414435-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260876	78f32dbcf8b1b50eee2b8cfc147d6218
OEP001340	OEX011788	OES065706	OER100140	OED260879	Public	24_FDSW202414436-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260879	ffdaa374046641634f37fec2664e9952
OEP001340	OEX011788	OES065706	OER100140	OED260880	Public	24_FDSW202414436-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260880	c6b6888a1c5f3c5e540f217224fcae6e
OEP001340	OEX011788	OES065707	OER100141	OED260875	Public	25_FDSW202414437-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260875	735bc9b593adcb574803570b1192b407
OEP001340	OEX011788	OES065707	OER100141	OED260877	Public	25_FDSW202414437-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260877	6f2b20aa45c646ba8c972135710aabae
OEP001340	OEX011788	OES065708	OER100142	OED260878	Public	26_FDSW202414438-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260878	56e1c1542358af2f758b768d3b2905f3
OEP001340	OEX011788	OES065708	OER100142	OED260888	Public	26_FDSW202414438-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260888	fd1c2900fe564bfc5d7966de66bf6540
OEP001340	OEX011788	OES065709	OER100143	OED260882	Public	27_FDSW202414439-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260882	a686374dd6a8fc12cac1f45225f9e904
OEP001340	OEX011788	OES065709	OER100143	OED260883	Public	27_FDSW202414439-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260883	4bc097427405c66af428faef6d8822e6
OEP001340	OEX011788	OES065710	OER100144	OED260881	Public	28_FDSW202414440-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260881	5c3c07b6fe3734ac15454fd7222e1ac3
OEP001340	OEX011788	OES065710	OER100144	OED260884	Public	28_FDSW202414440-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260884	b8cde9d504d908c20a771df08281464a
OEP001340	OEX011788	OES065711	OER100145	OED260885	Public	29_FDSW202414441-1b_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260885	748be7c9729d373fe91e522fb85f8b31
OEP001340	OEX011788	OES065711	OER100145	OED260886	Public	29_FDSW202414441-1b_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260886	694da0e2dc5e7a198344677534d735a5
OEP001340	OEX011788	OES065712	OER100146	OED260896	Public	30_FDSW202414442-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260896	f56ac875349b8c250d48a907bb23fec0
OEP001340	OEX011788	OES065712	OER100146	OED260899	Public	30_FDSW202414442-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260899	aac6587bf858dfe9ca8d34b9edd2151f
OEP001340	OEX011788	OES065713	OER100147	OED260894	Public	32_FDSW202414444-1b_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260894	a643fa00ce15b44425a91d34e43079f4
OEP001340	OEX011788	OES065713	OER100147	OED260897	Public	32_FDSW202414444-1b_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260897	670c469d1dabac8515dde2158ba2ef4f
OEP001340	OEX011788	OES065714	OER100148	OED260903	Public	33_FDSW202414445-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260903	08eb1b1fd86157a8dc07ab3e20a9c6c8
OEP001340	OEX011788	OES065714	OER100148	OED260911	Public	33_FDSW202414445-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260911	77dbd4ff5235268744243fedfc98e55a
OEP001340	OEX011788	OES065715	OER100149	OED260901	Public	34_FDSW202414446-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260901	a194e9920ef495a968ce69d9bf2fc530
OEP001340	OEX011788	OES065715	OER100149	OED261001	Public	34_FDSW202414446-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED261001	a59684489bb1ca91339e9dbe8d6e088a
OEP001340	OEX011788	OES065716	OER100150	OED260900	Public	35_FDSW202414447-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260900	a84a32529f719d1a036fefe7a51f38c6
OEP001340	OEX011788	OES065716	OER100150	OED260909	Public	35_FDSW202414447-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260909	fc67e89ed5673f0c38a68ffad6a93d19
OEP001340	OEX011788	OES065717	OER100151	OED260906	Public	36_FDSW202414448-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260906	1e160580502c26f288aae3a876d7495c
OEP001340	OEX011788	OES065717	OER100151	OED260918	Public	36_FDSW202414448-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260918	f0fcd911d5c0a3ceeba857c89d9178f0
OEP001340	OEX011788	OES065718	OER100152	OED260902	Public	37_FDSW202414449-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260902	d5a19a6f3d1b4cca132c8784d4aab893
OEP001340	OEX011788	OES065718	OER100152	OED260904	Public	37_FDSW202414449-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260904	a37826201041020cefd84d80f75409b8
OEP001340	OEX011788	OES065719	OER100153	OED260905	Public	38_FDSW202414450-1b_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260905	b0ef69b2d2d22dd1ae9868fd28006d8c
OEP001340	OEX011788	OES065719	OER100153	OED260913	Public	38_FDSW202414450-1b_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260913	eea0042f924bf5f41c215bdc7c63cbf2
OEP001340	OEX011788	OES065720	OER100154	OED260907	Public	39_FDSW202414451-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260907	925004b23147063184fcae80a715dc88
OEP001340	OEX011788	OES065720	OER100154	OED260917	Public	39_FDSW202414451-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260917	be30b46573424be6afaf66482a0a586b
OEP001340	OEX011788	OES065721	OER100155	OED260926	Public	40_FDSW202414452-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260926	cc22bce71a613527a388d47ee17ec62d
OEP001340	OEX011788	OES065721	OER100155	OED260939	Public	40_FDSW202414452-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260939	0b5e0fe0e97dc5e40e66579503fd1887
OEP001340	OEX011788	OES065722	OER100156	OED260924	Public	41_FDME20H101912-2r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260924	d495e5f78d251761c8cd30682c87d256
OEP001340	OEX011788	OES065722	OER100156	OED260935	Public	41_FDME20H101912-2r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260935	79ec9d3410458bc41819d67591bc4531
OEP001340	OEX011788	OES065723	OER100157	OED260910	Public	42_FDSW202414454-1r_1.fq.gz	https://www.biosino.org/download/node/data/public/OED260910	3e4e4f051798e1fd382ee11463e6c164
OEP001340	OEX011788	OES065723	OER100157	OED260938	Public	42_FDSW202414454-1r_2.fq.gz	https://www.biosino.org/download/node/data/public/OED260938	f1ae8ab8297ff5ebf61f2046f8aedc03
